id,x,y,diameter,orientation_x,orientation_y,orientation_z
216,-24.3366,-32.4056,0.0855,0.1018,-0.0024,0.9948
217,-23.4041,-32.894,0.0781,0.0106,-0.0082,0.9999
218,-21.669,-33.9431,0.0883,-0.0617,0.0175,0.9979
219,-27.3281,-27.1505,0.0595,0.0024,0.0039,1.0
220,-10.9906,-33.2937,0.0678,0.0052,-0.0222,0.9997
221,-19.8333,-34.9927,0.0747,-0.0291,0.001,0.9996
222,-17.8724,-36.1311,0.0792,0.0184,-0.0259,0.9995
223,-25.2369,-31.888,0.068,0.0167,-0.0587,0.9981
224,-16.9575,-36.6434,0.0787,0.0154,-0.0185,0.9997
225,-16.059,-37.1578,0.0809,0.031,-0.0422,0.9986
226,-26.1487,-31.3752,0.0674,0.0485,-0.0654,0.9967
227,-23.3129,-36.3945,0.0874,0.0315,0.084,0.996
228,-28.1161,-30.1929,0.0535,0.0007,-0.0328,0.9995
229,-12.6188,-35.7002,0.065,0.0532,0.0925,0.9943
230,-26.0052,-34.8705,0.0716,0.0159,-0.062,0.998
231,-22.3938,-36.905,0.0892,-0.0056,-0.0309,0.9995
232,-21.4735,-37.4323,0.0825,-0.0001,0.0238,0.9997
233,-20.4322,-38.0457,0.0832,0.0122,-0.0591,0.9982
234,-27.3816,-23.6627,0.0505,0.0077,0.0397,0.9992
235,-29.0077,-29.6464,0.0577,0.0114,0.0099,0.9999
236,-27.1939,-30.7209,0.0623,0.0231,0.028,0.9993
237,-29.0636,-26.1343,0.0524,0.0079,0.0272,0.9996
238,-18.5908,-39.0687,0.0859,0.0726,-0.016,0.9972
239,-26.8981,-34.3551,0.0854,0.1175,-0.0518,0.9917
240,-25.0918,-35.3748,0.0804,0.0324,-0.0134,0.9994
241,-28.8797,-33.2084,0.0696,-0.0099,-0.0102,0.9999
242,-19.5222,-38.567,0.0971,0.0652,0.0266,0.9975
243,-17.7003,-39.5983,0.0747,0.0429,-0.015,0.999
244,-29.7843,-32.6713,0.0561,-0.0096,-0.0343,0.9994
245,-27.8353,-33.8443,0.0671,-0.0005,-0.0605,0.9982
246,-27.6332,-37.3067,0.0649,0.0729,-0.0175,0.9972
247,-26.7409,-37.842,0.0741,0.025,-0.0183,0.9995
248,-24.961,-38.8468,0.0838,-0.0063,-0.0462,0.9989
249,-24.0242,-39.3496,0.0829,0.0377,0.0389,0.9985
250,-14.2686,-38.1556,0.0675,0.047,0.0507,0.9976
251,-23.124,-39.8868,0.0786,-0.0326,0.0009,0.9995
252,-21.1501,-41.0014,0.0823,0.033,-0.0243,0.9992
253,-30.6845,-32.1293,0.0503,0.0122,0.0287,0.9995
254,-29.4525,-36.2802,0.0656,0.0502,-0.0165,0.9986
255,-20.2384,-41.5249,0.0856,0.0747,0.009,0.9972
256,-28.5417,-36.7882,0.0678,0.062,-0.0379,0.9974
257,-22.0508,-40.4584,0.0727,0.0299,-0.0447,0.9986
258,-30.7423,-28.6221,0.0479,0.0009,0.0368,0.9993
259,-31.4101,-35.0988,0.0531,0.0116,-0.0093,0.9999
260,-15.9448,-40.6281,0.0723,0.0054,0.0049,1.0
261,-26.6283,-41.3368,0.0804,0.0103,0.0699,0.9975
262,-25.7057,-41.8641,0.0816,0.0043,0.0039,1.0
263,-24.7934,-42.3889,0.0747,-0.027,-0.0213,0.9994
264,-23.8196,-43.0219,0.1362,-0.1116,-0.2448,0.9631
265,-30.5022,-35.6277,0.0557,-0.0267,0.0372,0.999
266,-28.4082,-40.3299,0.0738,-0.0078,-0.0436,0.999
267,-32.3129,-34.5621,0.0542,-0.0284,-0.0259,0.9993
268,-19.341,-42.0677,0.0669,-0.018,-0.0779,0.9968
269,-32.1904,-38.144,0.0642,0.0077,-0.001,1.0
270,-22.3899,-43.2862,0.1117,0.5187,0.5128,0.6841
271,-21.9088,-44.0158,0.0759,0.0362,-0.0371,0.9987
272,-30.2194,-39.3004,0.0552,0.0412,-0.0619,0.9972
273,-29.3171,-39.816,0.0656,0.019,-0.0385,0.9991
274,-32.4181,-31.1165,0.0514,0.0204,0.016,0.9997
275,-20.9922,-44.5253,0.077,0.0467,-0.0387,0.9982
276,-27.0476,-43.8843,0.0777,-0.0548,0.0429,0.9976
277,-27.2716,-44.2556,0.0914,-0.0291,0.0683,0.9972
278,-22.8199,-43.4992,0.0713,0.0127,-0.0335,0.9994
279,-31.1347,-38.8007,0.0601,0.0355,-0.0428,0.9985
280,-31.5285,-41.29,0.0817,0.0752,-0.0598,0.9954
281,-27.975,-43.3451,0.0839,-0.0466,-0.0323,0.9984
282,-28.2034,-43.7229,0.1054,-0.1127,-0.0835,0.9901
283,-33.0994,-37.6259,0.052,0.0164,-0.0077,0.9998
284,-30.8449,-42.1794,0.1064,-0.0693,-0.1685,0.9833
285,-29.721,-42.3206,0.0884,-0.0399,0.016,0.9991
286,-29.9476,-42.6725,0.0792,-0.0388,-0.0244,0.999
287,-17.5621,-43.0564,0.0658,0.1039,0.0233,0.9943
288,-26.334,-44.7386,0.1013,-0.0266,-0.0288,0.9992
289,-25.3628,-45.4083,0.0798,0.0322,-0.0783,0.9964
290,-24.1797,-45.5449,0.085,-0.0173,-0.0738,0.9971
291,-24.3887,-45.8966,0.0881,-0.0719,-0.1464,0.9866
